id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight,categories,mechanics,families,designers,artists,publishers,expansions,integrations,compilations,implementations
117959,boardgame,Las Vegas,2012,2,5,30,30,30,8,3229,7.03279,6.75434,3761,34,256,630,732,246,1.2195,Dice,Area Control / Area Influence|Dice Rolling,"Alea Medium Box|Cities: Las Vegas (Nevada, USA)",Rüdiger Dorn,Harald Lieske|Markus Schmuck|Mia Steingräber,alea|Oya|Ravensburger Spieleverlag GmbH,Brettspiel Adventskalender 2015|Las Vegas Boulevard,,,The Heaven Sword and Dragon Saber
1634,boardgame,Warhammer Quest,1995,1,4,120,120,120,12,1719,7.39981,6.75424,2180,43,332,709,540,159,2.6981,Adventure|Fantasy,Co-operative Play|Dice Rolling|Modular Board|Role Playing,Solitaire Games|Warhammer Fantasy Board Games,Andy Jones|Gavin Thorpe,John Blanche|Wayne England|David Gallagher|Mark Gibbons|Geoff Taylor|Richard Wright,Games Workshop Ltd.,Chaos Dwarfs of Deep Forge (fan expansion to Warhammer Quest)|Warhammer Quest: Bretonnian Knight|Warhammer Quest: Catacombs of Terror|Warhammer Quest: Chaos Warrior|Warhammer Quest: Dwarf Trollslayer|Warhammer Quest: Elf Ranger|Warhammer Quest: Halfling Thief|Warhammer Quest: Imperial Noble|Warhammer Quest: Kislevite Shaman|Warhammer Quest: Lair of the Orc Lord|Warhammer Quest: Pit Fighter|Warhammer Quest: Pits & Traps|Warhammer Quest: Treasure Cards Pack #1|Warhammer Quest: Treasure Cards Pack #2|Warhammer Quest: Treasure Cards Pack #3|Warhammer Quest: Wardancer|Warhammer Quest: Warrior Priest|Warhammer Quest: Witch Hunter,,,
44163,boardgame,Power Grid: Factory Manager,2009,2,5,60,60,60,12,4823,6.93915,6.75019,5220,232,206,928,1138,442,3.0068,Economic|Industry / Manufacturing,Auction/Bidding|Commodity Speculation,Power Grid,Friedemann Friese,"Lars-Arne ""Maura"" Kalusky",2F-Spiele|999 Games|Albi|Arclight|Edge Entertainment|Filosofia Éditions|Lacerta|Rio Grande Games|Stratelibri,,,,
151007,boardgame,Pathfinder Adventure Card Game: Skull & Shackles  Base Set,2014,1,4,120,120,120,13,813,7.91923,6.74971,2494,67,114,400,188,53,2.8868,Card Game|Fantasy|Fighting|Pirates,Co-operative Play|Deck / Pool Building|Dice Rolling|Role Playing|Variable Player Powers,Campaign Games|Pathfinder Adventure Card Game|Solitaire Games,Chad Brown|Tanis O'Connor|Paul Peterson|Mike Selinker|Gaby Weidling,,Paizo Publishing|Ulisses Spiele,"Pathfinder Adventure Card Game: Character Mats|Pathfinder Adventure Card Game: Class Deck – Barbarian|Pathfinder Adventure Card Game: Class Deck – Bard|Pathfinder Adventure Card Game: Class Deck – Cleric|Pathfinder Adventure Card Game: Class Deck – Druid|Pathfinder Adventure Card Game: Class Deck – Fighter|Pathfinder Adventure Card Game: Class Deck – Inquisitor|Pathfinder Adventure Card Game: Class Deck – Monk|Pathfinder Adventure Card Game: Class Deck – Oracle|Pathfinder Adventure Card Game: Class Deck – Paladin|Pathfinder Adventure Card Game: Class Deck – Ranger|Pathfinder Adventure Card Game: Class Deck – Rogue|Pathfinder Adventure Card Game: Class Deck – Slayer|Pathfinder Adventure Card Game: Class Deck – Sorcerer|Pathfinder Adventure Card Game: Class Deck – Wizard|Pathfinder Adventure Card Game: Class Deck — Alchemist|Pathfinder Adventure Card Game: Skull & Shackles Adventure Deck 2 – Raiders of the Fever Sea|Pathfinder Adventure Card Game: Skull & Shackles Adventure Deck 3 – Tempest Rising|Pathfinder Adventure Card Game: Skull & Shackles Adventure Deck 4 –  Island of Empty Eyes|Pathfinder Adventure Card Game: Skull & Shackles Adventure Deck 5 – The Price of Infamy|Pathfinder Adventure Card Game: Skull & Shackles Adventure Deck 6 – From Hell's Heart|Pathfinder Adventure Card Game: Skull & Shackles – ""Blessing of Zogmugot"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Goblin Buckler Gun"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Goblin Keelhaulin' "" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Goblin Lockpick"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Goblin Pegleg"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Goblin Weidling"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Magpie Princess"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Mistmourn"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Mogmurch"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Owlbeartross"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Ranzak"" Promo Character Card Set|Pathfinder Adventure Card Game: Skull & Shackles – ""The Land of the Blind"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – ""Vomit Twin"" Promo Card|Pathfinder Adventure Card Game: Skull & Shackles – Character Add-On Deck|Pathfinder Battles: Iconic Heroes Set 1|Pathfinder Battles: Iconic Heroes Set 2|Pathfinder Battles: Iconic Heroes Set 3|Pathfinder Battles: Iconic Heroes Set 4|Pathfinder Battles: Iconic Heroes Set 5|Pathfinder Battles: Iconic Heroes Set 6",,,
121297,boardgame,Fleet,2012,2,4,45,30,45,10,2633,7.08719,6.74964,3840,123,311,877,814,184,2.2554,Card Game|Nautical,Auction/Bidding|Hand Management,Animals: Crabs|Animals: Fishes|Arctic Theme|Country: Canada|Crowdfunding: Kickstarter|Fleet|Sports: Fishing / Angling,Ben Pinchback|Matt Riddle,Eric J. Carter,"Eagle-Gryphon Games|Swan Panasia Co., Ltd.",Fleet: Arctic Bounty|Fleet: Charter Boat Cards|Fleet: Crab Meeples|Fleet: First Mate|Fleet: House Boat|Fleet: Inuit Fisherman|Fleet: Nunavut Weather Authority|Fleet: Salmon License|Fleet: Salty Captains|Fleet: Salvage Yard Licenses|Fleet: Trophy Cards|Fleet: Wharfside Casino,Wharfside,,
16747,boardgame,Tumblin-Dice,2004,1,4,30,30,30,13,2323,7.13308,6.74877,2031,16,445,1046,748,182,1.044,Action / Dexterity|Dice|Party Game,Dice Rolling,Finger Flicking Games|Solitaire Games,Carey Grayson|Randy Nash|Rick Soued,(Uncredited),Alary Games|Eagle-Gryphon Games|Ferti|Nash Games,,,,
19100,boardgame,Hacienda,2005,2,5,90,60,90,10,3522,6.99839,6.74755,3402,152,171,509,1106,463,2.6307,Animals|Economic|Farming|Territory Building,Area Enclosure|Card Drafting|Route/Network Building|Tile Placement,Country: Argentina|Country: Uruguay,Wolfgang Kramer,Michael Menzel,999 Games|Hans im Glück Verlags-GmbH|Rio Grande Games,,,,
8203,boardgame,"Hey, That's My Fish!",2003,2,4,20,20,20,8,12807,6.82349,6.74588,14836,355,308,1293,3761,1356,1.4698,Abstract Strategy|Animals,Area Enclosure|Grid Movement|Modular Board,Animals: Penguins|Antarctic Theme|Sports: Fishing / Angling,Günter Cornett|Alvydas Jakeliunas,François Bruel|Sylvain Decaux|Bernd Natke,"999 Games|Arclight|Bambus Spieleverlag|Brain Games|Devir|Edge Entertainment|Fantasy Flight Games|Giochi Uniti|Granna|Heidelberger Spieleverlag|KADABRA|Kaissa Chess & Games|Lautapelit.fi|Mayfair Games|Phalanx Games B.V.|Phalanx Games Deutschland|Swan Panasia Co., Ltd.|Ubik|Vennerød Forlag AS|Zvezda",,,,
221,boardgame,Ikusa,1986,2,5,360,240,360,12,3952,7.03034,6.74412,6153,335,199,700,1471,485,2.9402,Civil War|Wargame,Auction/Bidding|Dice Rolling|Simultaneous Action Selection,Asian Theme|Country: Japan|Gamemaster Series,Michael Gray,Steve Argyle,Avalon Hill (Hasbro)|Milton Bradley|Wizards of the Coast,,,,
37919,boardgame,Ascending Empires,2011,2,4,75,75,75,10,1753,7.23808,6.74273,1726,71,342,953,643,146,2.3288,Action / Dexterity|City Building|Civilization|Fighting|Science Fiction|Space Exploration,Set Collection,4X games|Admin: Better Description Needed!|Finger Flicking Games,Ian Cooper (I),Chechu Nieto,Z-Man Games,,,,
